Row number 	Query_Otu_ID 	Species_ID 	Percent_ID
193 	OTU_97.10269 	925409.4 	95.17
194 	OTU_97.1027 	888056.4 	96.44
195 	OTU_97.10270 	1235815.4 	90.68
196 	OTU_97.10271 	267747.3 	99.57
197 	OTU_97.10272 	679201.3 	78.23
198 	OTU_97.10273 	866778.4 	93.04
199 	OTU_97.10274 	553177.6 	97.02
200 	OTU_97.10275 	553178.3 	97.22
201 	OTU_97.10276 	1105030.3 	97.54
202 	OTU_97.10279 	1105031.3 	90.73
203 	OTU_97.1028 	1125778.3 	90.67
204 	OTU_97.10284 	267747.3 	98.19
205 	OTU_97.10285 	435590.9 	98.22
206 	OTU_97.10286 	857576.3 	98.97
207 	OTU_97.10287 	267747.3 	99.36
208 	OTU_97.10288 	397291.3 	52.61
209 	OTU_97.10289 	717959.3 	98.04
210 	OTU_97.10293 	645127.4 	98.58
211 	OTU_97.10301 	267747.3 	99.78
212 	OTU_97.10303 	267747.3 	99.36
213 	OTU_97.10305 	546271.5 	83.30
214 	OTU_97.10306 	267747.3 	98.98
215 	OTU_97.10307 	267747.3 	99.15
216 	OTU_97.10308 	428125.8 	95.72
217 	OTU_97.1031 	1077975.4 	94.09
218 	OTU_97.10310 	1400053.5 	83.43
219 	OTU_97.10311 	699246.3 	86.45
220 	OTU_97.10312 	883103.3 	98.98
221 	OTU_97.10313 	435590.9 	87.80
222 	OTU_97.10314 	1105030.3 	97.34
223 	OTU_97.10316 	267747.3 	97.99
224 	OTU_97.10320 	267747.3 	99.79
225 	OTU_97.10321 	1321817.3 	99.39
226 	OTU_97.10322 	552395.3 	37.50
227 	OTU_97.10323 	267747.3 	98.38
228 	OTU_97.10324 	1077975.4 	92.59
229 	OTU_97.10325 	997830.4 	98.60
230 	OTU_97.10335 	562973.4 	53.29
231 	OTU_97.10336 	710696.3 	97.42
232 	OTU_97.10337 	1176165.3 	94.15
233 	OTU_97.10340 	1073372.3 	98.38
234 	OTU_97.10342 	1105030.3 	97.94
235 	OTU_97.10345 	1105029.3 	98.00
236 	OTU_97.10346 	857291.3 	98.25
237 	OTU_97.10347 	1321817.3 	99.39
238 	OTU_97.10348 	537013.3 	85.69
239 	OTU_97.1035 	997895.4 	19.31
240 	OTU_97.10350 	267747.3 	99.15
241 	OTU_97.10351 	1235797.3 	90.77
242 	OTU_97.10352 	267747.3 	98.78
243 	OTU_97.10353 	267747.3 	98.59
244 	OTU_97.10354 	267747.3 	98.38
245 	OTU_97.10355 	1268240.3 	37.62
246 	OTU_97.10356 	267747.3 	98.11
247 	OTU_97.10360 	1203573.3 	98.97
248 	OTU_97.10361 	267747.3 	98.99
249 	OTU_97.10363 	1035187.4 	24.14
250 	OTU_97.10364 	1076135.3 	26.57
251 	OTU_97.10365 	411486.3 	91.71
252 	OTU_97.10366 	1121877.3 	89.37
253 	OTU_97.10367 	1415765.3 	98.20
254 	OTU_97.10368 	999421.3 	95.47
255 	OTU_97.10382 	1236489.4 	91.88
256 	OTU_97.10383 	1203619.3 	99.36
257 	OTU_97.10385 	1339350.3 	19.96
258 	OTU_97.10387 	468059.3 	90.96
259 	OTU_97.10388 	875454.4 	99.79
260 	OTU_97.10389 	176279.9 	98.60
261 	OTU_97.1039 	267747.3 	97.78
262 	OTU_97.10390 	888055.3 	97.11
263 	OTU_97.10391 	553207.3 	96.94
264 	OTU_97.10393 	267747.3 	97.59
265 	OTU_97.10394 	999421.3 	86.67
266 	OTU_97.10395 	267747.3 	98.38
267 	OTU_97.10396 	537011.5 	27.79
268 	OTU_97.10397 	267747.3 	98.19
269 	OTU_97.10408 	596320.3 	98.60
270 	OTU_97.10409 	457394.3 	98.39
271 	OTU_97.1041 	997894.4 	99.40
272 	OTU_97.10411 	267747.3 	97.78
273 	OTU_97.10412 	762948.4 	98.99
274 	OTU_97.10413 	176279.9 	97.62
275 	OTU_97.10414 	553178.3 	90.87
276 	OTU_97.10415 	706433.3 	95.61
277 	OTU_97.10416 	1160721.7 	91.68
278 	OTU_97.10417 	537011.5 	26.85
279 	OTU_97.10420 	411485.10 	96.20
280 	OTU_97.10422 	267747.3 	97.78
281 	OTU_97.10423 	762963.3 	97.67
282 	OTU_97.10424 	1395125.3 	99.41
283 	OTU_97.10426 	334413.6 	98.79
284 	OTU_97.10427 	267747.3 	98.59
285 	OTU_97.10429 	1095740.3 	98.38
286 	OTU_97.1043 	944565.4 	95.65
287 	OTU_97.10430 	762966.3 	93.05
288 	OTU_97.10431 	365659.3 	87.86
289 	OTU_97.10434 	1203573.3 	98.56
290 	OTU_97.10436 	999417.3 	99.21
291 	OTU_97.10437 	665946.3 	97.42
292 	OTU_97.10438 	537011.5 	27.73
293 	OTU_97.10439 	1414720.3 	25.79
294 	OTU_97.1044 	525257.3 	98.40
295 	OTU_97.10444 	267747.3 	95.69
296 	OTU_97.10447 	267747.3 	97.76
297 	OTU_97.10448 	875454.4 	98.23
298 	OTU_97.10449 	762968.3 	25.50
299 	OTU_97.1045 	176279.9 	95.95
300 	OTU_97.10453 	267747.3 	94.31
301 	OTU_97.10454 	267747.3 	99.39
302 	OTU_97.10455 	1094954.4 	7.08
303 	OTU_97.10456 	1203564.3 	99.79
304 	OTU_97.10457 	936563.3 	16.12
